ASPEN 1SW
1980-01,M,M,M,M
1980-02,M,M,M,M
1980-03,M,M,M,M
1980-04,M,M,M,M
1980-05,M,M,M,M
1980-06,M,M,M,M
1980-07,78.3,48.4,0.52,0.0
1980-08,74.4,45.7,1.17,0.0
1980-09,69.3,39.8,0.85,0.0
1980-10,56.2,27.7,1.61,11.8
1980-11,45.3,17.4,1.38,9.5
1980-12,45.2,19.3,1.45,4.0
1981-01,42.7,11.7,0.28,7.2
1981-02,39.5,12.0,0.89,9.7
1981-03,42.5,18.4,3.64,35.5
1981-04,56.8,29.1,1.63,16.4
1981-05,58.6,33.8,3.44,8.8
1981-06,73.8,41.9,0.70,0.0
1981-07,75.9,48.2,2.35,0.0
1981-08,74.4,46.1,1.38,0.0
1981-09,69.5,40.3,1.55,0.0
1981-10,52.8,30.2,2.03,13.3
1981-11,46.7,21.8,1.75,19.5
1981-12,34.9,11.9,3.53,57.9
1982-01,30.8,9.0,2.59,49.0
1982-02,35.8,8.8,0.83,15.5
1982-03,41.8,17.8,3.03,30.5
1982-04,48.1,21.7,1.61,12.5
1982-05,58.3,32.2,2.05,8.5
1982-06,67.7,38.9,1.02,0.0
1982-07,75.4,45.1,1.69,0.0
1982-08,75.0,47.5,0.95,0.0
1982-09,65.6,39.7,3.34,2.5
1982-10,51.9,25.9,1.57,12.6
1982-11,40.7,15.1,2.39,31.2
1982-12,35.1,9.4,0.92,13.5
1983-01,37.4,8.5,0.47,11.3
1983-02,39.3,12.0,1.59,31.5
1983-03,41.4,19.7,3.68,42.0
1983-04,44.5,22.0,2.80,21.0
1983-05,54.9,30.4,4.75,44.3
1983-06,67.2,39.2,0.88,2.0
1983-07,77.6,46.7,0.82,0.0
1983-08,76.6,48.4,1.78,0.0
1983-09,71.0,40.8,0.61,0.0
1983-10,58.2,31.3,1.75,8.0
1983-11,41.2,20.5,5.05,52.0
1983-12,29.2,11.8,4.87,71.0
1984-01,30.6,3.9,0.79,10.0
1984-02,39.2,8.6,1.78,29.0
1984-03,42.1,16.0,4.07,52.0
1984-04,46.8,21.7,2.70,25.5
1984-05,63.2,35.7,1.45,13.0
1984-06,67.6,39.4,4.35,15.5
1984-07,77.8,46.8,3.20,0.0
1984-08,74.4,46.8,3.45,0.0
1984-09,67.7,38.6,1.14,2.5
1984-10,47.4,26.0,5.47,39.8
